PUFC04_SEX,PUFC05_AGE,PUFC06_MSTAT,PUFC07_GRADE,PUFC09_GRADTECH,PUFC11_WORK,PUFC14_PROCC,PUFC17_NATEM,PUFC18_PNWHRS,PUFC19_PHOURS,PUFC23_PCLASS,PUFC41_WQTR,PUFNEWEMPSTAT
1,49,2,14,0,1,25,1,8,24,4,2,0
0,61,2,14,0,1,1,2,4,8,7,2,0
1,19,3,14,0,1,1,2,8,24,2,2,0
1,48,2,12,0,1,25,1,4,20,4,2,0
0,41,2,14,0,1,8,1,12,72,3,2,0
1,20,3,14,0,1,36,2,8,48,2,2,0
0,15,3,12,0,0,43,3,0,0,5,1,1
1,59,2,14,0,1,25,1,4,20,4,2,0
0,61,2,14,0,1,31,1,8,10,1,2,0
1,51,2,14,0,1,33,1,4,20,4,2,0
0,51,2,20,0,0,43,3,0,0,5,0,1
1,26,3,20,0,0,43,3,0,0,5,1,2
1,23,3,14,0,1,34,2,12,60,2,2,0
1,71,2,8,0,1,22,2,8,48,2,2,0
0,54,2,6,0,1,8,0,4,16,3,2,0
1,27,3,20,0,1,0,1,8,40,1,2,0
1,46,2,13,0,1,4,0,8,48,2,2,0
0,46,2,14,0,0,43,3,0,0,5,1,1
1,23,3,14,0,1,4,0,8,48,2,2,0
0,18,3,14,0,0,43,3,0,0,5,1,2
0,80,5,4,0,0,43,3,0,0,5,0,1
0,43,3,12,0,1,25,1,4,24,4,2,0
0,38,3,20,0,1,7,1,8,40,1,2,0
1,73,5,14,0,0,43,3,0,0,5,0,1
1,35,3,14,0,1,11,1,4,24,2,2,0
0,19,3,14,0,1,8,1,10,70,3,2,0
1,72,2,4,0,1,25,1,2,4,4,2,0
0,74,2,14,0,1,1,2,2,4,7,2,0
1,39,1,14,0,1,19,1,8,32,4,2,0
0,16,3,13,0,0,43,3,0,0,5,1,1
0,51,2,4,0,1,32,2,8,16,2,2,0
0,20,3,14,0,1,32,1,8,48,2,2,0
0,22,3,14,0,1,32,2,8,16,2,2,0
1,44,1,16,0,1,7,1,8,45,1,2,0
0,34,3,14,0,1,19,1,3,10,4,2,0
1,44,2,14,0,1,33,1,6,30,4,2,0
0,40,2,20,0,0,43,3,0,0,5,0,1
0,15,5,12,0,0,43,3,0,0,5,1,1
0,44,5,14,0,1,19,1,3,24,0,2,0
1,17,3,12,0,1,1,2,4,15,7,2,0
1,53,2,14,0,1,19,1,8,48,0,2,0
0,40,2,20,0,1,33,1,8,40,1,2,0
1,18,3,2,0,0,43,3,0,0,5,1,1
0,17,3,14,0,0,43,3,0,0,5,1,1
1,26,3,20,0,1,5,1,8,48,2,2,0
1,45,2,20,0,1,4,0,8,48,2,2,0
0,44,2,20,0,0,43,3,0,0,5,2,1
1,77,2,9,0,0,43,3,0,0,5,0,1
0,81,2,9,0,0,43,3,0,0,5,1,1
1,37,2,3,0,1,7,1,3,3,1,2,0
0,25,2,14,0,0,43,3,0,0,5,0,1
1,38,2,4,0,1,4,2,8,48,2,2,0
0,37,2,13,0,1,31,1,2,2,1,2,0
1,17,3,0,0,0,43,3,0,0,5,1,1
1,52,2,20,0,1,30,1,8,40,1,2,0
0,45,2,4,0,0,43,3,0,0,5,1,1
1,55,2,7,0,1,22,0,8,48,2,2,0
0,55,2,14,0,0,43,3,0,0,5,2,1
1,45,5,7,0,1,14,1,8,32,2,2,0
0,23,3,6,0,0,43,3,0,0,5,1,1
1,68,3,4,0,1,10,1,6,42,2,2,0
1,56,2,2,0,1,33,1,9,63,4,2,0
0,54,2,2,0,1,31,1,8,32,1,2,0
0,18,3,2,0,0,43,3,0,0,5,1,1
1,30,2,14,0,1,22,1,9,54,2,2,0
0,25,2,0,0,1,19,1,10,70,0,2,0
0,95,5,4,0,0,43,3,0,0,5,0,1
0,70,3,14,0,0,43,3,0,0,5,0,1
0,32,2,20,0,0,43,3,0,0,5,0,1
1,65,2,0,0,1,7,1,8,48,1,2,0
0,62,2,20,0,1,7,1,8,40,1,2,0
0,36,3,20,0,0,43,3,0,0,5,0,1
0,92,5,4,0,0,43,3,0,0,5,1,1
1,55,2,0,0,1,33,1,6,36,4,2,0
1,33,3,20,0,1,34,1,8,32,1,2,0
0,28,3,20,0,0,43,3,0,0,5,0,2
1,24,3,20,0,0,43,3,0,0,5,0,2
0,21,3,20,0,0,43,3,0,0,5,1,2
1,20,3,20,0,0,43,3,0,0,5,1,1
0,15,3,14,0,0,43,3,0,0,5,1,1
1,29,2,12,0,1,36,1,6,42,2,2,0
0,30,2,13,0,0,43,3,0,0,5,0,1
1,48,3,20,1,1,33,1,10,70,4,2,0
0,46,3,20,0,0,43,3,0,0,5,0,1
1,19,3,14,0,1,8,1,6,42,3,2,0
0,89,5,4,0,0,43,3,0,0,5,0,1
0,24,3,14,0,1,36,1,8,48,2,2,0
1,32,2,20,0,1,25,1,6,36,4,2,0
0,31,2,20,0,1,19,1,10,60,4,2,0
0,29,3,2,0,1,24,1,7,7,2,2,0
1,27,2,20,0,1,7,1,8,8,1,2,0
0,22,2,14,0,0,43,3,0,0,5,1,1
1,55,2,14,1,1,25,1,6,42,0,2,0
0,49,2,4,0,1,1,2,4,8,7,2,0
1,57,2,3,0,1,7,2,4,28,1,2,0
0,57,2,1,0,1,31,1,3,3,1,2,0
1,21,3,0,0,1,7,2,8,16,2,0,0
1,34,2,14,0,1,22,1,8,48,1,2,0
0,34,3,20,0,1,36,2,8,48,2,2,0
1,25,2,14,1,1,4,0,8,48,2,2,0
0,23,2,14,0,1,36,1,8,48,2,2,0
1,37,2,14,0,1,11,2,8,48,2,2,0
1,44,2,14,0,0,43,3,0,0,5,0,2
0,43,2,14,0,1,8,1,8,48,3,2,0
